2,0Bebés,bebes,0
3,2Niñas de hasta 24 meses,ninas-hasta-24-meses,0
4,3Accesorios para bebés niña,accesorios-bebes-nina,0
5,3Bermudas,bermudas,0
6,3Calcetines y medias,calcetines-medias,0
7,3Conjuntos,conjuntos,0
8,3Faldas y faldas pantalón,faldas-faldas-pantalon,0
9,3Leggings,leggings,0
10,3Pantalones,pantalones,0
11,3Pantalones de peto,pantalones-peto,0
12,3Partes de arriba,partes-arriba,0
13,3Ropa de abrigo,abrigo,0
14,3Ropa de bautizo,bautizo,0
15,3Ropa de deporte,deporte,0
16,3Ropa de nieve y lluvia,nieve-lluvia,0
17,3Ropa de punto,punto,0
18,3Ropa de una pieza,una-pieza,0
19,3Ropa interior,interior,0
20,3Ropa para dormir y batas,dormir-batas,0
21,3Trajes de baño,trajes-bano,0
22,3Vaqueros,vaqueros,0
23,3Vestidos,vestidos,0
24,2Niños de hasta 24 meses,ninos-hasta-24-meses,0
25,24Accesorios para bebés niño,accesorios-bebes-nino,0
26,24Bermudas,bermudas-26,0
27,24Calcetines y medias,calcetines-medias-27,0
28,24Conjuntos,conjuntos-28,0
29,24Leggings,leggings-29,0
30,24Pantalones,pantalones-30,0
31,24Pantalones de peto,pantalones-peto-31,0
32,24Partes de arriba,partes-arriba-32,0
33,24Punto,punto-33,0
34,24Ropa de abrigo,abrigo-34,0
35,24Ropa de bautizo,bautizo-35,0
36,24Ropa de deporte,deporte-36,0
37,24Ropa de nieve y lluvia,nieve-lluvia-37,0
38,24Ropa de una pieza,una-pieza-38,0
39,24Ropa interior,interior-39,0
40,24Ropa para dormir y batas,dormir-batas-40,0
41,24Trajes de baño,trajes-bano-41,0
42,24Vaqueros,vaqueros-42,0
43,0Chicas,chicas,0
44,43Accesorios,accesorios,0
45,44Bufandas,bufandas,0
46,44Calentadores lumbares,calentadores-lumbares,0
47,44Cinturones,cinturones,0
48,44Diademas de moda,diademas-moda,0
49,44Diademas deportivas,diademas-deportivas,0
50,44Gafas y accesorios,gafas-accesorios,0
51,44Guantes,guantes,0
52,44Manguitos y calentadores,manguitos-calentadores,0
53,44Orejeras,orejeras,0
54,44Pasamontañas,pasamontanas,0
55,44Pañuelos,panuelos,0
56,"44Set de bufanda, gorro y guantes",set-bufanda-gorro-guantes,0
57,44Sombreros y gorras,sombreros-gorras,0
58,44Tirantes,tirantes,0
59,43Blazers,blazers,0
60,"43Calcetines, medias y leggings",calcetines-medias-leggings,0
61,60Calcetines,calcetines,0
62,60Calcetines cortos,calcetines-cortos,0
63,60Calcetines hasta la rodilla,calcetines-hasta-rodilla,0
64,60Leggings,leggings-64,0
65,60Medias,medias,0
66,"43Camisetas, tops y blusas",camisetas-tops-blusas,0
67,66Blusas y camisas,blusas-camisas,0
68,66Camisetas de manga corta,camisetas-manga-corta,0
69,66Camisetas de manga larga,camisetas-manga-larga,0
70,66Camisetas de tirantes,camisetas-tirantes,0
71,66Polos,polos,0
72,43Conjuntos,conjuntos-72,0
73,43Faldas,faldas,0
74,43Pantalones,pantalones-74,0
75,43Pantalones cortos,pantalones-cortos,0
76,43Petos y monos,petos-monos,0
77,43Pijamas y batas,pijamas-batas,0
78,77Albornoces,albornoces,0
79,77Camisetas de pijama,camisetas-pijama,0
80,77Camisones,camisones,0
81,77Pantalones de pijama,pantalones-pijama,0
82,77Pijamas,pijamas,0
83,77Pijamas de una pieza,pijamas-una-pieza,0
84,43Prendas de punto,prendas-punto,0
85,84Cárdigans,cardigans,0
86,84Jerséis,jerseis,0
87,43Ropa de abrigo,abrigo-87,0
88,87Abrigos,abrigos,0
89,87Abrigos impermeables,abrigos-impermeables,0
90,87Chalecos,chalecos,0
91,87Chaquetas,chaquetas,0
92,43Ropa de baño,bano,0
93,92Bóxers y bermudas,boxers-bermudas,0
94,92Camisetas de neopreno,camisetas-neopreno,0
