ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
24000,external,B07FVNVYXQ,JiAmy Bebé Saco de Dormir con Piernas Separable Algodón 3.5 TOG Invierno Bolsa de Dormir Mangas Larga Extraíbles para Niños Niñas 9-24 Meses,1,0,visible,"
<h2 class=""entry-title"" style=""font-size:1.2rem;"">JiAmy</h2>","<ul class=""""a-unordered-list a-vertical a-spacing-mini""""><li><span class=""a-list-item"">Saco de dormir de algodón para niños y niñas. Tamaño 80 cm - Recomendado por 9-24 meses; Tamaño 100 cm - Recomendado por 2-3 años.</span></li><li><span class=""a-list-item"">2 en 1 Bolsa de dormir. Las mangas son extraíbles para uso doble. Perfecto para invierno, otoño y otros días fríos. Ideal como un regalo de bebé.</span></li><li><span class=""a-list-item"">Muévete libremente. El diseño especial de la pierna del saco de dormir permite que el bebé se mueva y gire cómodamente.</span></li><li><span class=""a-list-item"">Fácil de usar. Cremallera de alta calidad desde la parte superior hasta la inferior, para facilitar el uso y cambiar el pañal.</span></li><li><span class=""a-list-item"">SERVICIO GARANTIZADO: 100% de garantía de devolución de dinero. Si por cualquier motivo no está 100% satisfecho con su compra. Justo lo devuelven.  Y reembolsaremos cada centavo o lo reemplazaremos.</span></li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,Bebés,"Bebé, Saco, Dormir, Piernas, Separable, Algodón",,"https://m.media-amazon.com/images/I/61H0H8S+9gL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61nBdh5ZkvL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/713fC24IaSL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71lOeVNpOwL._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/71mrE9S5i7L._AC_SL1500_.jpg, https://m.media-amazon.com/images/I/61sqJ6TOGML._AC_SL1024_.jpg",0,,,,,,,Ver en Amazon,0,"{'Color': {'name': 'Color', 'type': 'button', 'terms': {'Azul + Gris': {'name': 'Azul + Gris', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Gris + Blanco': {'name': 'Gris + Blanco', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa + Gris': {'name': 'Rosa + Gris', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}}}}",Color,"Azul + Gris, Gris + Blanco, Rosa + Gris",1,1,Talla,,1,1
24001,external,B073X13JKB,"Simple Joys by Carter's Pijama con Pies de Forro Polar de Ajuste Holgado Niña, Pack de 3",1,0,visible,"
<h2 class=""entry-title"" style=""font-size:1.2rem;"">Simple Joys by Carter's</h2>","<ul class=""""a-unordered-list a-vertical a-spacing-mini""""><li><span class=""a-list-item"">Para mayor seguridad, los pijamas deben ser resistentes al fuego o bien ajustados. Nuestra ropa de dormir de poliéster y forro polar es resistente al fuego y libre de tratamientos químicos.</span></li><li><span class=""a-list-item"">Tres juegos de pijamas de pie con divertidos patrones y apliques</span></li><li><span class=""a-list-item"">Poliéster</span></li><li><span class=""a-list-item"">Cierre: Cremallera</span></li><li><span class=""a-list-item"">Lavado a máquina</span></li><li><span class=""a-list-item"">Manga larga</span></li><li><span class=""a-list-item"">3-Pack Loose Fit Flame Resistant Fleece Footed Pajamas</span></li><li><span class=""a-list-item"">Forro polar.</span></li><li><span class=""a-list-item"">Cremallera en el tobillo a la barbilla con solapa a presión.</span></li><li><span class=""a-list-item"">Carter’s es la marca líder en ventas de ropa para niños pequeños en los EE. UU. Diferentes generaciones de familias estadounidenses confían en Carter's para hacer la vida más fácil, ofreciendo una amplia gama de estilos a un gran precio.</span></li></ul>",,,taxable,,1,,,0,0,,,,,0,,,,Bebés,"Pijama, Pies, Forro, Polar, Ajuste, Holgado",,"https://m.media-amazon.com/images/I/91dxy5Ny4EL._AC_UL1500_.jpg, https://m.media-amazon.com/images/I/71q2+Aar6pL._AC_UL1500_.jpg, https://m.media-amazon.com/images/I/716JfYJDi2L._AC_UL1500_.jpg, https://m.media-amazon.com/images/I/7109K-crtnS._AC_UL1500_.jpg",0,,,,,,,Ver en Amazon,0,"{'Color': {'name': 'Color', 'type': 'button', 'terms': {'Búho/Gato/Lunares': {'name': 'Búho/Gato/Lunares', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Oso Polar/Cerdo/Zorro': {'name': 'Oso Polar/Cerdo/Zorro', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Superhéroe/Dónut/Búho': {'name': 'Superhéroe/Dónut/Búho', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Cuadros de Vichy/Pingüino/Unicornio': {'name': 'Cuadros de Vichy/Pingüino/Unicornio', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Azul Marino, Panda/Floral': {'name': 'Rosa/Azul Marino, Panda/Floral', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Azul Marino/Azul Claro, Elefante/Monstruo': {'name': 'Rosa/Azul Marino/Azul Claro, Elefante/Monstruo', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Cian Oscuro, Oso/Copo de Nieve': {'name': 'Rosa/Cian Oscuro, Oso/Copo de Nieve', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Zorro/Dinosaurio/Estampado de Leopardo': {'name': 'Zorro/Dinosaurio/Estampado de Leopardo', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '12 meses': {'name': '12 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '18 meses': {'name': '18 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '24 meses': {'name': '24 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '2 años': {'name': '2 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '3 años': {'name': '3 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '4 años': {'name': '4 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '5 años': {'name': '5 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}}}, 'Talla': {'name': 'Talla', 'type': 'button', 'terms': {'Búho/Gato/Lunares': {'name': 'Búho/Gato/Lunares', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Oso Polar/Cerdo/Zorro': {'name': 'Oso Polar/Cerdo/Zorro', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Superhéroe/Dónut/Búho': {'name': 'Superhéroe/Dónut/Búho', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Cuadros de Vichy/Pingüino/Unicornio': {'name': 'Cuadros de Vichy/Pingüino/Unicornio', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Azul Marino, Panda/Floral': {'name': 'Rosa/Azul Marino, Panda/Floral', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Azul Marino/Azul Claro, Elefante/Monstruo': {'name': 'Rosa/Azul Marino/Azul Claro, Elefante/Monstruo', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Rosa/Cian Oscuro, Oso/Copo de Nieve': {'name': 'Rosa/Cian Oscuro, Oso/Copo de Nieve', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, 'Zorro/Dinosaurio/Estampado de Leopardo': {'name': 'Zorro/Dinosaurio/Estampado de Leopardo', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '12 meses': {'name': '12 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '18 meses': {'name': '18 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '24 meses': {'name': '24 meses', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '2 años': {'name': '2 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '3 años': {'name': '3 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '4 años': {'name': '4 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}, '5 años': {'name': '5 años', 'color': '', 'image': '', 'show_tooltip': '', 'tooltip_text': '', 'tooltip_image': '', 'image_size': ''}}}}",Color,"Búho/Gato/Lunares, Oso Polar/Cerdo/Zorro, Superhéroe/Dónut/Búho, Cuadros de Vichy/Pingüino/Unicornio, Rosa/Azul Marino, Panda/Floral, Rosa/Azul Marino/Azul Claro, Elefante/Monstruo, Rosa/Cian Oscuro, Oso/Copo de Nieve, Zorro/Dinosaurio/Estampado de Leopardo",1,1,Talla,"12 meses, 18 meses, 24 meses, 2 años, 3 años, 4 años, 5 años",1,1
